order_item_id,order_id,product_id,quantity,price_per_unit
1,ORD5001,PROD1148,1,429.64
2,ORD5001,PROD1081,1,722.32
3,ORD5002,PROD1113,1,94.06
4,ORD5002,PROD1047,1,389.88
5,ORD5003,PROD1181,1,148.29
6,ORD5003,PROD1198,1,814.63
7,ORD5003,PROD1184,1,854.63
8,ORD5004,PROD1010,1,332.92
9,ORD5004,PROD1035,1,763.07
10,ORD5004,PROD1048,1,757.71
11,ORD5004,PROD1167,1,619.42
12,ORD5005,PROD1050,1,148.91
13,ORD5006,PROD1059,1,59.1
14,ORD5006,PROD1192,1,226.2
15,ORD5007,PROD1194,1,705.49
16,ORD5007,PROD1052,1,543.6
17,ORD5007,PROD1060,1,819.46
18,ORD5007,PROD1081,1,722.32
19,ORD5008,PROD1090,1,378.11
20,ORD5008,PROD1159,1,486.78
21,ORD5008,PROD1058,1,323.23
22,ORD5009,PROD1004,1,122.75
23,ORD5009,PROD1088,1,702.58
24,ORD5009,PROD1176,1,270.35
25,ORD5009,PROD1143,1,64.12
26,ORD5010,PROD1167,1,619.42
27,ORD5010,PROD1083,1,355.32
28,ORD5010,PROD1040,1,456.34
29,ORD5010,PROD1056,1,259.79
30,ORD5011,PROD1142,1,50.78
31,ORD5011,PROD1154,1,511.68
32,ORD5011,PROD1052,1,543.6
33,ORD5011,PROD1056,1,259.79
34,ORD5012,PROD1098,1,57.17
35,ORD5012,PROD1132,1,785.1
36,ORD5012,PROD1131,1,829.68
37,ORD5013,PROD1111,1,884.38
38,ORD5013,PROD1020,1,825.78
39,ORD5013,PROD1132,1,785.1
40,ORD5014,PROD1157,1,597.1
41,ORD5014,PROD1021,1,140.95
42,ORD5015,PROD1190,1,468.96
43,ORD5015,PROD1106,1,793.15
44,ORD5015,PROD1146,1,387.87
45,ORD5016,PROD1124,1,369.23
46,ORD5016,PROD1047,1,389.88
47,ORD5016,PROD1161,1,15.68
48,ORD5016,PROD1178,1,695.65
49,ORD5016,PROD1123,1,756.56
50,ORD5017,PROD1054,1,210.85
51,ORD5017,PROD1099,1,559.31
52,ORD5018,PROD1176,1,270.35
53,ORD5018,PROD1169,1,281.85
54,ORD5019,PROD1133,1,13.49
55,ORD5019,PROD1025,1,501.62
56,ORD5020,PROD1111,1,884.38
57,ORD5020,PROD1159,1,486.78
58,ORD5020,PROD1158,1,25.62
59,ORD5020,PROD1046,1,442.54
60,ORD5020,PROD1025,1,501.62
61,ORD5021,PROD1090,1,378.11
62,ORD5021,PROD1199,1,868.38
63,ORD5021,PROD1019,1,761.87
64,ORD5021,PROD1167,1,619.42
65,ORD5021,PROD1089,1,811.23
66,ORD5022,PROD1147,1,121.88
67,ORD5023,PROD1117,1,309.62
68,ORD5024,PROD1081,1,722.32
69,ORD5024,PROD1046,1,442.54
70,ORD5024,PROD1157,1,597.1
71,ORD5024,PROD1155,1,51.34
72,ORD5025,PROD1197,1,555.54
73,ORD5025,PROD1099,1,559.31
74,ORD5025,PROD1020,1,825.78
75,ORD5025,PROD1066,1,890.48
76,ORD5025,PROD1043,1,334.21
77,ORD5026,PROD1154,1,511.68
78,ORD5027,PROD1115,1,546.6
