shipment_id,order_id,carrier,tracking_number,current_status,status_details,last_updated
SHIP7001,ORD5001,USPS,0605048257111,Delivered,Delivered to front porch.,2024-10-04 14:51:36.504372
SHIP7002,ORD5002,USPS,8097403714148,Delivered,Delivered to front porch.,2024-10-01 13:03:44.053104
SHIP7003,ORD5003,USPS,6365603980420,Delayed,Logistics issue at sorting hub,2024-10-07 18:09:13.355803
SHIP7004,ORD5005,FedEx,5469878288630,Delivered,Delivered to front porch.,2024-10-03 04:00:42.626356
SHIP7005,ORD5006,UPS,4462589534387,Delivered,Delivered to front porch.,2024-09-28 05:41:25.179859
SHIP7006,ORD5008,DHL,4812636178239,Delivered,Delivered to front porch.,2024-10-01 13:00:27.119746
SHIP7007,ORD5009,DHL,7611134598450,Delayed,Weather event in transit region,2024-10-04 22:38:00.323852
SHIP7008,ORD5011,FedEx,4543512666860,Delivered,Delivered to front porch.,2024-10-05 08:26:06.430857
SHIP7009,ORD5012,FedEx,0905451396873,Delivered,Delivered to front porch.,2024-09-29 14:31:06.285275
SHIP7010,ORD5015,USPS,9313810827790,Delayed,Weather event in transit region,2024-09-29 21:23:05.887519
SHIP7011,ORD5016,FedEx,3547804710515,Delivered,Delivered to front porch.,2024-09-27 18:39:03.613849
SHIP7012,ORD5017,USPS,7058450877393,Delayed,Vehicle breakdown,2024-10-04 16:27:47.874819
SHIP7013,ORD5019,USPS,1846133705295,Lost,Package missing after last scan. Investigation opened.,2024-09-28 18:42:39.986996
SHIP7014,ORD5021,DHL,4141945078900,Delayed,Logistics issue at sorting hub,2024-10-06 00:27:16.912331
SHIP7015,ORD5023,FedEx,5077588353793,Delivered,Delivered to front porch.,2024-10-01 08:50:23.927454
SHIP7016,ORD5025,USPS,3920339224984,Delivered,Delivered to front porch.,2024-10-04 08:49:27.308724
SHIP7017,ORD5026,UPS,3635795648723,Delayed,Vehicle breakdown,2024-10-07 15:51:52.284207
SHIP7018,ORD5027,DHL,0329903598569,Delivered,Delivered to front porch.,2024-10-02 02:17:59.792832
SHIP7019,ORD5028,UPS,6632995486695,Delivered,Delivered to front porch.,2024-10-04 07:07:39.257237
SHIP7020,ORD5029,USPS,3689735528699,Lost,Package missing after last scan. Investigation opened.,2024-09-28 11:48:01.818735
SHIP7021,ORD5030,UPS,9456895485940,Delayed,Weather event in transit region,2024-10-05 02:54:38.562065
SHIP7022,ORD5031,FedEx,3924937868786,Delivered,Delivered to front porch.,2024-10-04 09:45:42.287667
SHIP7023,ORD5032,FedEx,8667529597743,Delayed,Weather event in transit region,2024-10-07 17:08:33.494327
SHIP7024,ORD5033,USPS,5678876378285,Delivered,Delivered to front porch.,2024-10-02 23:34:24.769367
SHIP7025,ORD5034,DHL,8082960857285,Delayed,Vehicle breakdown,2024-10-10 01:06:52.995736
SHIP7026,ORD5035,FedEx,5509738985993,Delivered,Delivered to front porch.,2024-10-02 19:58:18.977690
SHIP7027,ORD5037,UPS,6721971942819,Delivered,Delivered to front porch.,2024-10-04 21:18:34.693184
SHIP7028,ORD5038,FedEx,2436110694644,Delivered,Delivered to front porch.,2024-10-04 06:23:34.440430
SHIP7029,ORD5040,FedEx,1131984859120,Delivered,Delivered to front porch.,2024-10-02 19:09:21.819987
SHIP7030,ORD5041,FedEx,2925688825487,Delivered,Delivered to front porch.,2024-10-04 14:13:01.596139
SHIP7031,ORD5042,USPS,5824459636550,Delivered,Delivered to front porch.,2024-09-28 12:26:12.038250
SHIP7032,ORD5044,DHL,7754721750395,Delivered,Delivered to front porch.,2024-09-29 02:18:28.762561
SHIP7033,ORD5045,DHL,2996180727968,Lost,Package missing after last scan. Investigation opened.,2024-09-29 04:47:12.463610
SHIP7034,ORD5046,FedEx,9526330359348,Delivered,Delivered to front porch.,2024-10-04 19:26:51.660736
SHIP7035,ORD5048,DHL,6190726861185,Delivered,Delivered to front porch.,2024-09-28 11:38:28.679234
SHIP7036,ORD5049,FedEx,5171449435717,Delayed,Vehicle breakdown,2024-10-03 15:00:41.343744
SHIP7037,ORD5051,DHL,7897289042424,Delivered,Delivered to front porch.,2024-10-03 08:38:20.602425
SHIP7038,ORD5052,DHL,1478287444142,Delayed,Weather event in transit region,2024-10-07 09:30:31.725825
SHIP7039,ORD5054,FedEx,5793203286269,Delivered,Delivered to front porch.,2024-10-05 03:10:37.195349
SHIP7040,ORD5055,USPS,8047889242918,Delivered,Delivered to front porch.,2024-09-30 16:32:22.854678
SHIP7041,ORD5056,USPS,0422876643615,Delayed,Weather event in transit region,2024-10-06 11:59:10.941648
SHIP7042,ORD5057,USPS,7814675749149,Delivered,Delivered to front porch.,2024-10-04 13:51:24.259816
SHIP7043,ORD5058,FedEx,3352113814737,Delivered,Delivered to front porch.,2024-10-04 20:34:05.363369
SHIP7044,ORD5060,FedEx,7805396449562,Delivered,Delivered to front porch.,2024-09-30 12:47:22.022045
SHIP7045,ORD5061,UPS,5251256430560,Delivered,Delivered to front porch.,2024-10-05 11:17:03.704607
SHIP7046,ORD5062,UPS,7302243035317,Delivered,Delivered to front porch.,2024-10-02 19:35:04.631151
SHIP7047,ORD5063,DHL,6005160133678,Delivered,Delivered to front porch.,2024-10-02 06:55:56.976963
SHIP7048,ORD5064,USPS,3548582512995,Delivered,Delivered to front porch.,2024-09-29 22:53:06.398414
SHIP7049,ORD5065,FedEx,9842185279755,Delivered,Delivered to front porch.,2024-10-07 15:54:13.541613
SHIP7050,ORD5066,UPS,9376115032894,Delivered,Delivered to front porch.,2024-10-02 06:09:09.781877
SHIP7051,ORD5067,FedEx,8904904542371,Lost,Package missing after last scan. Investigation opened.,2024-09-29 04:16:40.601760
SHIP7052,ORD5068,UPS,8157441941095,Delivered,Delivered to front porch.,2024-10-06 09:10:41.051201
SHIP7053,ORD5070,UPS,1764980012086,Lost,Package missing after last scan. Investigation opened.,2024-09-29 08:03:46.439473
SHIP7054,ORD5071,DHL,1813029885263,Delivered,Delivered to front porch.,2024-10-01 03:09:27.802291
SHIP7055,ORD5072,USPS,3587427442905,Delivered,Delivered to front porch.,2024-10-02 21:23:05.867506
SHIP7056,ORD5073,DHL,2471401896277,Delayed,Weather event in transit region,2024-10-11 18:41:54.270495
SHIP7057,ORD5074,UPS,9887727833477,Delivered,Delivered to front porch.,2024-10-03 10:26:09.538181
SHIP7058,ORD5075,DHL,6189196100931,Delivered,Delivered to front porch.,2024-10-05 15:16:17.671443
SHIP7059,ORD5076,FedEx,5438280585477,Delivered,Delivered to front porch.,2024-10-02 01:49:40.672455
SHIP7060,ORD5078,FedEx,9273346801773,Delivered,Delivered to front porch.,2024-10-05 12:04:32.816857
SHIP7061,ORD5079,USPS,3901265325181,Delayed,Logistics issue at sorting hub,2024-10-15 12:19:37.516901
SHIP7062,ORD5080,DHL,5004661537900,Delivered,Delivered to front porch.,2024-10-01 19:03:10.132184
SHIP7063,ORD5081,DHL,4601968495738,Delivered,Delivered to front porch.,2024-10-01 23:33:19.699654
SHIP7064,ORD5082,FedEx,8777747865071,Delayed,Logistics issue at sorting hub,2024-10-12 18:56:58.680727
SHIP7065,ORD5084,UPS,6596264928418,Delivered,Delivered to front porch.,2024-10-06 07:27:54.618396
SHIP7066,ORD5085,FedEx,0932064131409,Delayed,Weather event in transit region,2024-10-12 06:20:34.553785
SHIP7067,ORD5086,USPS,1813619799680,Delayed,Vehicle breakdown,2024-10-07 01:26:13.153123
SHIP7068,ORD5088,USPS,2811624227616,Delivered,Delivered to front porch.,2024-09-30 17:07:41.020840
SHIP7069,ORD5089,DHL,5524560717710,Delivered,Delivered to front porch.,2024-10-02 13:38:22.782931
SHIP7070,ORD5090,UPS,1722134520955,Delivered,Delivered to front porch.,2024-10-03 13:29:49.265457
